id,title,text,references
1,"Heart Failure (ACC/AHA Guidelines, 2022 Update)","Definition & Impact: Heart failure (HF) is characterized by the heart’s inability to pump sufficiently, leading to frequent hospitalizations. Key Readmission Factors: Nonadherence to sodium restriction, medication noncompliance, inadequate follow-up, comorbidities. Clinical Guidelines: (1) GDMT (ACEi/ARBs/ARNIs, beta-blockers, MRAs), (2) Daily weight checks, (3) Follow-up in 7–14 days. Discharge Education: Warning signs, med adherence.","ACC/AHA Guideline for the Management of HF (Circulation, 2022); doi:10.1161/CIR.0000000000001063"
2,"Chronic Kidney Disease (KDIGO Guidelines)","Definition & Staging: Progressive loss of kidney function (stages 1–5). Common Triggers: Fluid overload, electrolyte imbalances. KDIGO Recommendations: (1) Renal dosing, (2) BP monitoring, (3) Early nephrology consult, (4) Follow-up labs in 1–2 weeks post-discharge.","KDIGO 2012 Clinical Practice Guideline for Evaluation and Management of CKD; https://kdigo.org/guidelines/"
3,"Diabetes Mellitus (ADA Standards of Care)","Overview: Chronic hyperglycemia leading to micro/macrovascular complications. Common readmissions: DKA/HHS or uncontrolled DM. Strategies: (1) Stable inpatient glucose ~140–180 mg/dL, (2) Med reconciliation at discharge, (3) Education on SMBG, (4) Follow-up in 1–2 weeks.","ADA Standards of Medical Care in Diabetes (Diabetes Care, 2023); https://diabetes.org/diabetes"
4,"COPD (GOLD Guidelines)","Definition & Impact: Chronic bronchitis/emphysema leading to airflow limitation. Readmissions often from exacerbations. GOLD: (1) Inhaler optimization (LABA, LAMA, ICS), (2) Smoking cessation, (3) Pulmonary rehab, (4) Early post-discharge follow-up.","Global Initiative for Chronic Obstructive Lung Disease (GOLD, 2023); https://goldcopd.org/"
5,"Pneumonia (IDSA/ATS Guidelines)","Overview: A leading cause of hospitalization. Reducing readmissions: (1) Proper antibiotic duration (5–7 days for CAP), (2) Vaccinations (influenza, pneumococcal), (3) Symptom monitoring, (4) Follow-up in 1–2 weeks if high risk.","IDSA/ATS Consensus Guidelines on CAP (CID, 2019); https://www.idsociety.org/practice-guideline/cap-adults/"
6,"Charlson Comorbidity Index (CCI)","Definition: Predicts mortality using weighted comorbidities. Higher CCI = higher readmission risk. Best Practice: (1) More intensive post-discharge planning for high CCI, (2) Consider palliative care if advanced disease.","Charlson ME et al. J Chronic Dis. 1987;40(5):373-383."
7,"Comprehensive Discharge Planning (Joint Commission / AHRQ)","Key Elements: (1) Med reconciliation, (2) Teach-back education, (3) Scheduled follow-ups, (4) Home health services, (5) Caregiver engagement. Goal: Smooth transition to reduce readmission.","Joint Commission: Transitions of Care; AHRQ: Care Transitions Toolkit"
8,"Advanced Care Planning & Palliative Care","Scope: For advanced disease (HF, COPD, CKD, metastatic cancer). Recommendations: (1) Early referral if recurrent admissions, (2) Symptom control, (3) Advance directives, (4) Interdisciplinary team involvement.","National Consensus Project for Quality Palliative Care; AAHPM"
9,"Social Determinants of Health (SDOH) & Readmission","Impact: Housing, food insecurity, transport, social support influence readmission. Recommendations: (1) SDOH screening, (2) Link to community resources, (3) Telehealth for remote areas, (4) Language/health literacy accommodations.","WHO: Social Determinants of Health; AHRQ: SDOH Interventions"
10,"Acute Ischemic Stroke (AHA/ASA Guidelines)","Definition: Brain ischemia due to clot/occlusion. Readmission Drivers: Poor secondary prevention, uncontrolled hypertension, nonadherence. Guidelines: (1) Strict BP control, (2) Rehab (PT/OT/speech), (3) Antithrombotic therapy, (4) Stroke education for risk factors.","AHA/ASA Stroke Guidelines; https://www.ahajournals.org/stroke/"
11,"Sepsis & Post-Sepsis Syndrome","Overview: Organ dysfunction from infection. Readmissions often from unresolved infection or comorbidities. Recommendations: (1) Complete antibiotic course, (2) Monitor organ function, (3) Early outpatient follow-up, (4) Education on warning signs (fever, hypotension).","Surviving Sepsis Campaign; https://www.survivingsepsis.org/"
12,"Telehealth in Chronic Disease Management","Definition: Remote monitoring and virtual visits for conditions (HF, diabetes, COPD). Benefits: Early detection of deterioration, reduced travel burdens. Implementation: Provide monitoring devices, schedule tele-visits. Outcome: Fewer readmissions.","American Telemedicine Association; https://www.americantelemed.org/"
13,"Antibiotic Stewardship","Context: Overuse/misuse can lead to resistant infections and subsequent readmissions. Core Elements: (1) Appropriate selection, (2) De-escalation per cultures, (3) Optimized duration, (4) Patient education on adherence.","CDC Core Elements of Hospital Antibiotic Stewardship Programs; https://www.cdc.gov/antibiotic-use/"
